"area","epiweek","Rt","CIlow","CIup","Rtnext","CIupnext","CIlownext","sgss_s_positive","sgss_s_negative","total_cases","probs","sgss_s_negative_corrected","sgss_s_positive_corrected","freq"
"Bedford","48",1.23019263189775,1.08717085331241,1.38862359088488,1.42034995298346,1.64131996697225,1.24844961820648,50,16,144,0.895961625195545,14.3353860031287,51.6646139968713,21.7202818229223
"Bedford","49",1.42034995298346,1.24844961820648,1.64131996697225,1.50992738187298,1.8214386778805,1.26844948623523,77,31,208,0.952413500197723,29.5248185061294,78.4751814938706,27.3377949130828
"Bedford","50",1.50992738187298,1.26844948623523,1.8214386778805,1.50456532096582,1.85293145280265,1.24151664433774,62,119,361,1,119,62,65.7458563535912
"Bexley","45",1.1348724076852,0.992346866989277,1.294662767472,0.975703156186582,1.11619048156779,0.843694960222848,111,40,465,0.756752913412712,30.2701165365085,120.729883463492,20.0464347923897
"Bexley","46",0.975703156186582,0.843694960222848,1.11619048156779,1.01932749222363,1.153643952707,0.876467642024077,47,25,647,0.890231332358474,22.2557833089618,49.7442166910381,30.9108101513359
"Bexley","47",1.01932749222363,0.876467642024077,1.153643952707,1.25212375715244,1.40582521938633,1.09789435501862,77,75,522,0.943542678206105,70.7657008654579,81.2342991345421,46.5563821483276
"Bexley","48",1.25212375715244,1.09789435501862,1.40582521938633,1.55994078713564,1.73530498140573,1.40095832135717,60,103,497,0.97149401490574,100.063883535291,62.9361164647088,61.3888856044731
"Bexley","49",1.55994078713564,1.40095832135717,1.73530498140573,1.74413174427792,2.00906846901778,1.50929966918523,73,140,591,0.987531875922865,138.254462629201,74.7455373707989,64.9081984174653
"Bexley","50",1.74413174427792,1.50929966918523,2.00906846901778,1.74215847107505,2.0492716750028,1.46282564772782,117,356,1041,1,356,117,75.2642706131078
"Birmingham","45",1.10236601184387,0.998938127364687,1.22319361811537,0.852708569911569,0.952319626180323,0.764551898977994,1572,28,3422,0.113606227305214,3.18097436454599,1596.81902563545,0.198810897784124
"Birmingham","46",0.852708569911569,0.764551898977994,0.952319626180323,0.724367877624456,0.811071838529646,0.637819387339121,440,9,4011,0.250438347709843,2.25394512938859,446.746054870611,0.501992233716835
"Birmingham","47",0.724367877624456,0.637819387339121,0.811071838529646,0.868873508307586,0.970621962671299,0.774026461174409,579,10,3492,0.40776187923562,4.0776187923562,584.922381207644,0.69229521092635
"Birmingham","48",0.868873508307586,0.774026461174409,0.970621962671299,1.09072344925216,1.2213673005993,0.976691116022937,827,27,2213,0.584029953524922,15.7688087451729,838.231191254827,1.84646472425912
"Birmingham","49",1.09072344925216,0.976691116022937,1.2213673005993,1.20071295202046,1.42589990509078,0.986987760243057,1333,109,1848,0.76542420485062,83.4312383287176,1358.56876167128,5.7858001614922
"Birmingham","50",1.20071295202046,0.986987760243057,1.42589990509078,1.21427286417026,1.49901348983543,0.935147751677897,1228,255,2101,1,255,1228,17.1948752528658
"Blaby","49",0.906170589817302,0.789378653877286,1.05801703465728,0.910769071171345,1.12367959834149,0.772107613653791,119,15,184,0.903943971702015,13.5591595755302,120.44084042447,10.1187758026345
"Blaby","50",0.910769071171345,0.772107613653791,1.12367959834149,0.906272219200857,1.14714665152811,0.755665424330762,135,7,196,1,7,135,4.92957746478873
"Blackburn with Darwen","45",0.772995699200125,0.681131860129833,0.865313431025393,0.755439703741714,0.847916118570739,0.662621068666127,926,11,1057,0.0622689206190435,0.684958126809479,936.31504187319,0.0731011874930073
"Blackburn with Darwen","46",0.755439703741714,0.662621068666127,0.847916118570739,0.80515178981925,0.913024530423057,0.709885305979258,560,11,766,0.147561804365536,1.6231798480209,569.376820151979,0.284269675660402
"Blackburn with Darwen","47",0.80515178981925,0.709885305979258,0.913024530423057,0.873296430467037,0.991185873776871,0.773000298779182,347,10,462,0.262928412917734,2.62928412917734,354.370715870823,0.736494153831188
"Blackburn with Darwen","48",0.873296430467037,0.773000298779182,0.991185873776871,0.941129240385641,1.08124992301622,0.819301578360673,334,19,399,0.421105027712277,8.00099552653326,344.999004473467,2.26657097068931
"Blackburn with Darwen","49",0.941129240385641,0.819301578360673,1.08124992301622,0.977225590501475,1.20883460383849,0.801025565487159,272,25,361,0.628333383554643,15.7083345888661,281.291665411134,5.28900154507275
"Blackburn with Darwen","50",0.977225590501475,0.801025565487159,1.20883460383849,0.979212241352965,1.26389425539454,0.77482486934066,218,60,324,1,60,218,21.5827338129496
"Blackpool","45",0.810529750469752,0.728113598567045,0.879444637156249,0.814716269996967,0.883056236117316,0.732686662668909,220,9,404,0.181255530021868,1.63129977019681,227.368700229803,0.712357978251883
"Bolton","45",0.817104879611157,0.699991701004424,0.93707006678999,0.726364752013294,0.843519862086642,0.620623688905956,1033,45,1365,0.0784915981575027,3.53212191708762,1074.46787808291,0.327655094349501
"Bolton","46",0.726364752013294,0.620623688905956,0.843519862086642,0.710914426272403,0.830967052845872,0.59950303802608,804,27,1133,0.181699837328411,4.9058956078671,826.094104392133,0.590360482294476
"Bolton","47",0.710914426272403,0.59950303802608,0.830967052845872,0.767776752919461,0.90681879657669,0.635944015428947,576,16,762,0.313927175202924,5.02283480324678,586.977165196753,0.848451824872768
"Bolton","48",0.767776752919461,0.635944015428947,0.90681879657669,0.879412425156738,1.05132835316786,0.722326158232362,407,6,551,0.482692337858167,2.896154027149,410.103845972851,0.701247948462228
"Bolton","50",0.962309696092308,0.726079100399997,1.2605388721659,0.978444802394914,1.35628699862943,0.692014955740482,260,14,348,1,14,260,5.10948905109489
"Bournemouth, Christchurch and Poole","47",0.635640279851296,0.505294759263951,0.775514981948367,0.847735523062021,1.02806107692779,0.693448923780108,208,9,456,0.224347762887394,2.01912986598655,214.980870134013,0.930474592620528
"Bournemouth, Christchurch and Poole","49",1.2452345456693,1.02470092032879,1.50069052483129,1.53696655473298,2.02445964382279,1.16061436746888,78,14,180,0.578195458449403,8.09473641829164,83.9052635817084,8.79862654162135
"Bournemouth, Christchurch and Poole","50",1.53696655473298,1.16061436746888,2.02445964382279,1.6015716230475,2.22706936139831,1.14264219679192,57,38,254,1,38,57,40
"Bracknell Forest","47",1.15874526913411,0.998705828224265,1.3194932218,1.34095668709665,1.52542998144901,1.18530067102481,29,6,74,0.717106928050922,4.30264156830553,30.6973584316945,12.2932616237301
"Bracknell Forest","48",1.34095668709665,1.18530067102481,1.52542998144901,1.49527833480885,1.71734507207871,1.31035725678805,17,25,97,0.837904763098057,20.9476190774514,21.0523809225486,49.8752835177415
"Bracknell Forest","49",1.49527833480885,1.31035725678805,1.71734507207871,1.57381807331617,1.90763207262999,1.32254472890084,25,100,184,0.923156850029197,92.3156850029197,32.6843149970803,73.8525480023358
"Bracknell Forest","50",1.57381807331617,1.32254472890084,1.90763207262999,1.57947708191844,1.97761902850306,1.29648149304253,32,137,276,1,137,32,81.0650887573965
"Bradford","47",0.698416104431295,0.616271150449779,0.782414570421591,0.779035783343659,0.872786865057702,0.69706861577936,224,16,1884,0.186789633414901,2.98863413463842,237.011365865362,1.24526422276601
"Bradford","48",0.779035783343659,0.69706861577936,0.872786865057702,0.850398365936279,0.959708763018091,0.758664906527389,235,18,1174,0.318984539416803,5.74172170950245,247.258278290498,2.26945522114722
"Bradford","49",0.850398365936279,0.758664906527389,0.959708763018091,0.874883181184228,1.0444201858038,0.738787903308932,163,16,920,0.521204785924829,8.33927657479726,170.660723425203,4.65881372893702
"Bradford","50",0.874883181184228,0.738787903308932,1.0444201858038,0.876831281074952,1.08615623840805,0.711828221082435,165,9,866,1,9,165,5.17241379310345
"Braintree","48",1.47473687375678,1.28023952296908,1.69844474318118,1.7033749038554,1.96155241121803,1.49998547334517,24,7,155,0.898488774008841,6.28942141806189,24.7105785819381,20.2884561872964
"Braintree","49",1.7033749038554,1.49998547334517,1.96155241121803,1.75221103147257,2.0878790153277,1.47031281414685,34,25,178,0.953640354482382,23.8410088620595,35.1589911379404,40.4084895967111
"Braintree","50",1.75221103147257,1.47031281414685,2.0878790153277,1.7110913504042,2.09082896650611,1.39438730934156,17,158,542,1,158,17,90.2857142857143
"Brent","47",0.911689243778795,0.779051038168668,1.05002592326188,1.11932270588264,1.27067908620091,0.975069517718501,165,10,602,0.743113295599331,7.43113295599331,167.568867044007,4.24636168913903
"Brent","48",1.11932270588264,0.975069517718501,1.27067908620091,1.46009852020839,1.63824740460346,1.29320645852182,152,22,488,0.855050831014528,18.8111182823196,155.18888171768,10.8109875185745
"Brent","49",1.46009852020839,1.29320645852182,1.63824740460346,1.67395949615743,1.95698371242769,1.42725541478873,153,76,445,0.932016799654038,70.8332767737069,158.166723226293,30.9315619099157
"Brent","50",1.67395949615743,1.42725541478873,1.95698371242769,1.70584791460707,2.04991498459622,1.41679112555608,183,168,790,1,168,183,47.8632478632479
"Brentwood","47",1.11091221230174,0.938264198541928,1.27751929350801,1.38206055748946,1.58402830174573,1.20592518390742,33,35,150,0.925907711103401,32.406769888619,35.593230111381,47.6570145420868
"Brentwood","48",1.38206055748946,1.20592518390742,1.58402830174573,1.68787344261285,1.92995262552165,1.47826261876186,17,29,105,0.96224050765174,27.9049747219005,18.0950252780995,60.6629885258706
"Brentwood","49",1.68787344261285,1.47826261876186,1.92995262552165,1.85117448974407,2.20104393344821,1.55491223774228,23,67,176,0.983395537831906,65.8875010347377,24.1124989652623,73.2083344830419
"Brentwood","50",1.85117448974407,1.55491223774228,2.20104393344821,1.82746350063551,2.2141495139749,1.50773324749475,49,201,355,1,201,49,80.4
"Brighton and Hove","48",1.10343475572392,0.905740537026603,1.33187244266538,1.50002869721675,1.80016415613735,1.25292035245222,62,15,154,0.981213650939273,14.7182047640891,62.2817952359109,19.1145516416742
"Brighton and Hove","49",1.50002869721675,1.25292035245222,1.80016415613735,1.76505202963059,2.23781213279086,1.38866823756608,64,42,153,0.991829103264086,41.6568223370916,64.3431776629084,39.2988889972562
"Brighton and Hove","50",1.76505202963059,1.38866823756608,2.23781213279086,1.82253232648464,2.39858057249184,1.37675202947524,80,99,254,1,99,80,55.3072625698324
"Bristol, City of","46",0.672925782221289,0.560930728173201,0.783315382190302,0.581421859855534,0.693189548501662,0.477065311293018,521,27,1985,0.618530171728647,16.7003146366735,531.299685363326,3.04750267092582
"Bristol, City of","47",0.581421859855534,0.477065311293018,0.693189548501662,0.723756640926889,0.86382343509852,0.590923376603018,265,27,1333,0.769655075029888,20.780687025807,271.219312974193,7.11667363897499
"Bristol, City of","48",0.723756640926889,0.590923376603018,0.86382343509852,0.991394132319176,1.18092591612424,0.81280986984132,238,28,642,0.872018958877186,24.4165308485612,241.583469151439,9.17914693554933
"Bristol, City of","49",0.991394132319176,0.81280986984132,1.18092591612424,1.20769583695273,1.57173597155695,0.906437149313348,121,35,448,0.940600989379417,32.9210346282796,123.07896537172,21.1032273258203
