name,epiweek,R(S-),R(S+)
Hampshire and the Isle of Wight,Week 50,2.114608032,1.333700586
Hampshire and the Isle of Wight,Week 51,1.680217008,0.986471344
Hampshire and the Isle of Wight,Week 52,2.201010695,1.054757334
Hampshire and the Isle of Wight,Week 53,0.866879261,0.527660032
Hampshire and the Isle of Wight,Week 54,0.82136402,0.579718574
Hampshire and the Isle of Wight,Week 55,0.7009597,0.570763714
Healthier Lancashire and South Cumbria,Week 45,1.467488254,0.834403585
Healthier Lancashire and South Cumbria,Week 46,1.302824566,0.708271273
Healthier Lancashire and South Cumbria,Week 47,1.527816352,0.788178323
Healthier Lancashire and South Cumbria,Week 48,1.752720716,0.841807906
Healthier Lancashire and South Cumbria,Week 49,2.434643594,1.079887633
Healthier Lancashire and South Cumbria,Week 50,2.038395287,0.989886778
Healthier Lancashire and South Cumbria,Week 51,1.621991158,0.916585451
Healthier Lancashire and South Cumbria,Week 52,2.576021706,1.38421788
Healthier Lancashire and South Cumbria,Week 53,1.313087498,0.780093634
Healthier Lancashire and South Cumbria,Week 54,1.006692549,0.577067227
Healthier Lancashire and South Cumbria,Week 55,0.872523367,0.485473684
Herefordshire and Worcestershire,Week 45,1.511995106,1.04745165
Herefordshire and Worcestershire,Week 46,1.040900402,0.658584801
Herefordshire and Worcestershire,Week 47,0.958697438,0.57856644
Herefordshire and Worcestershire,Week 48,1.246608081,0.709242456
Herefordshire and Worcestershire,Week 49,2.327922855,1.188716833
Herefordshire and Worcestershire,Week 50,2.701594818,1.271222551
Herefordshire and Worcestershire,Week 51,2.32536451,1.045504732
Herefordshire and Worcestershire,Week 52,2.719018954,1.256864231
Herefordshire and Worcestershire,Week 53,1.329717582,0.759731537
Herefordshire and Worcestershire,Week 54,0.952090952,0.61036162
Herefordshire and Worcestershire,Week 55,0.735066019,0.510062658
Hertfordshire and West Essex,Week 45,2.065422144,1.09072933
Hertfordshire and West Essex,Week 46,1.478123521,0.744295173
Hertfordshire and West Essex,Week 47,1.749929366,0.816910088
Hertfordshire and West Essex,Week 48,2.054006431,0.948742407
Hertfordshire and West Essex,Week 49,2.392158444,1.168300585
Hertfordshire and West Essex,Week 50,2.238612504,1.20857251
Hertfordshire and West Essex,Week 51,1.331535003,0.825948273
Hertfordshire and West Essex,Week 52,1.359088762,0.86430022
Hertfordshire and West Essex,Week 53,0.725170751,0.520930113
Hertfordshire and West Essex,Week 54,0.7053058,0.49309097
Hertfordshire and West Essex,Week 55,0.71187062,0.482084442
"Humber, Coast and Vale",Week 45,1.347351594,0.916296093
"Humber, Coast and Vale",Week 46,1.002604562,0.607977118
"Humber, Coast and Vale",Week 47,1.062774438,0.602067839
"Humber, Coast and Vale",Week 48,1.38645835,0.744434517
"Humber, Coast and Vale",Week 49,2.012042865,0.920874384
"Humber, Coast and Vale",Week 50,2.968066421,1.079818596
"Humber, Coast and Vale",Week 51,2.134210334,0.896914804
"Humber, Coast and Vale",Week 52,2.215462665,1.248685172
"Humber, Coast and Vale",Week 53,0.978461788,0.739481371
"Humber, Coast and Vale",Week 54,0.745768859,0.596546257
"Humber, Coast and Vale",Week 55,0.822453358,0.596640195
Joined Up Care Derbyshire,Week 45,1.545902832,0.879908887
Joined Up Care Derbyshire,Week 46,1.394813502,0.616644265
Joined Up Care Derbyshire,Week 47,1.738610983,0.655618775
Joined Up Care Derbyshire,Week 48,2.171702165,0.85085455
Joined Up Care Derbyshire,Week 49,2.407281392,1.121187614
Joined Up Care Derbyshire,Week 50,1.857113385,0.960966176
Joined Up Care Derbyshire,Week 51,1.528473339,0.856049773
Joined Up Care Derbyshire,Week 52,2.254614905,1.210337463
Joined Up Care Derbyshire,Week 53,1.14036521,0.754599717
Joined Up Care Derbyshire,Week 54,1.034944022,0.718726162
Joined Up Care Derbyshire,Week 55,0.985096507,0.733217577
Kent and Medway,Week 45,2.085343825,1.23941996
Kent and Medway,Week 46,1.088094252,0.619342007
Kent and Medway,Week 47,1.457404927,0.744064137
Kent and Medway,Week 48,1.210053114,0.750282236
Kent and Medway,Week 49,1.600528557,1.15776737
Kent and Medway,Week 50,1.442953936,1.182739175
Kent and Medway,Week 51,0.674080982,0.615181241
Kent and Medway,Week 52,1.528135948,1.045102815
Kent and Medway,Week 53,0.654246992,0.536555348
Kent and Medway,Week 54,0.734277361,0.628752203
Kent and Medway,Week 55,0.710837062,0.637218467
"Leicester, Leicestershire and Rutland",Week 45,1.6099917,1.083802035
"Leicester, Leicestershire and Rutland",Week 46,1.166453261,0.669145028
"Leicester, Leicestershire and Rutland",Week 47,1.252165854,0.690845737
"Leicester, Leicestershire and Rutland",Week 48,1.502948713,0.839030657
"Leicester, Leicestershire and Rutland",Week 49,1.813805519,1.047678759
"Leicester, Leicestershire and Rutland",Week 50,2.007368522,1.032280998
"Leicester, Leicestershire and Rutland",Week 51,2.252277344,0.892087879
"Leicester, Leicestershire and Rutland",Week 52,2.530577766,1.035084212
"Leicester, Leicestershire and Rutland",Week 53,1.109995373,0.707963166
"Leicester, Leicestershire and Rutland",Week 54,1.042402432,0.678883994
"Leicester, Leicestershire and Rutland",Week 55,1.024339406,0.647182387
Lincolnshire,Week 45,1.581560069,1.13136875
Lincolnshire,Week 46,1.193012524,0.800721918
Lincolnshire,Week 47,1.4261921,0.888778043
Lincolnshire,Week 48,1.688696824,0.984023762
Lincolnshire,Week 49,1.960229412,1.046207035
Lincolnshire,Week 50,1.842396963,0.914376047
Lincolnshire,Week 51,1.841174077,0.885186759
Lincolnshire,Week 52,1.835336441,0.85545472
Lincolnshire,Week 53,1.226803563,0.629596972
Lincolnshire,Week 54,1.058441923,0.564477356
Lincolnshire,Week 55,1.016340809,0.535670266
Mid and South Essex,Week 45,2.780430528,1.287084234
Mid and South Essex,Week 46,1.498497496,0.712003949
Mid and South Essex,Week 47,1.526968191,0.796674596
Mid and South Essex,Week 48,1.554856565,0.90560115
Mid and South Essex,Week 49,2.649442807,1.511360457
Mid and South Essex,Week 50,2.258784437,1.30373504
Mid and South Essex,Week 51,0.736120664,0.489575544
Mid and South Essex,Week 52,1.600647789,1.034014811
Mid and South Essex,Week 53,0.503556824,0.416288782
Mid and South Essex,Week 54,0.708458815,0.56515721
Mid and South Essex,Week 55,0.595063154,0.514933287
Norfolk and Waveney Health and Care Partnership,Week 45,1.929360829,1.086038156
Norfolk and Waveney Health and Care Partnership,Week 46,1.258267704,0.710524265
Norfolk and Waveney Health and Care Partnership,Week 47,1.260328439,0.771937614
Norfolk and Waveney Health and Care Partnership,Week 48,1.324862687,0.952492801
Norfolk and Waveney Health and Care Partnership,Week 49,1.550167613,1.144899082
Norfolk and Waveney Health and Care Partnership,Week 50,2.154357919,1.228395043
Norfolk and Waveney Health and Care Partnership,Week 51,1.736329612,1.019662544
Norfolk and Waveney Health and Care Partnership,Week 52,2.037652152,1.114430299
Norfolk and Waveney Health and Care Partnership,Week 53,0.911940313,0.503485904
Norfolk and Waveney Health and Care Partnership,Week 54,0.988516851,0.461315214
Norfolk and Waveney Health and Care Partnership,Week 55,0.817339504,0.412302154
North London Partners in Health and Care,Week 45,2.21928129,1.164803904
North London Partners in Health and Care,Week 46,1.451034196,0.718189036
North London Partners in Health and Care,Week 47,1.697623121,0.811488338
North London Partners in Health and Care,Week 48,2.066940444,0.970832854
North London Partners in Health and Care,Week 49,2.24417806,1.124135828
North London Partners in Health and Care,Week 50,2.337950121,1.234840657
North London Partners in Health and Care,Week 51,1.084004929,0.642471434
North London Partners in Health and Care,Week 52,1.422547777,0.84416411
North London Partners in Health and Care,Week 53,0.876150501,0.594050783
North London Partners in Health and Care,Week 54,0.612389895,0.478245089
North London Partners in Health and Care,Week 55,0.706837301,0.572077663
North West London Health and Care Partnership,Week 45,2.177333058,1.125214452
North West London Health and Care Partnership,Week 46,1.547882624,0.769809486
North West London Health and Care Partnership,Week 47,1.596847648,0.785194574
North West London Health and Care Partnership,Week 48,1.752384353,0.88307806
North West London Health and Care Partnership,Week 49,2.419369907,1.224305703
North West London Health and Care Partnership,Week 50,2.543356833,1.260454965
North West London Health and Care Partnership,Week 51,1.338233715,0.722093665
North West London Health and Care Partnership,Week 52,1.48515881,0.836195872
North West London Health and Care Partnership,Week 53,1.030386427,0.644020696
North West London Health and Care Partnership,Week 54,0.733370934,0.513126203
North West London Health and Care Partnership,Week 55,0.755208497,0.518745564
Northamptonshire,Week 45,1.597579747,1.044458845
Northamptonshire,Week 46,1.151963464,0.687717876
Northamptonshire,Week 47,1.28085817,0.720792966
Northamptonshire,Week 48,1.751112235,0.941591082
Northamptonshire,Week 49,2.471676983,1.234159329
Northamptonshire,Week 50,2.209290567,1.011907296
Northamptonshire,Week 51,1.929811552,0.913981754
Northamptonshire,Week 52,2.317316516,1.215759137
Northamptonshire,Week 53,0.984140253,0.690932409
Northamptonshire,Week 54,0.77127625,0.608872253
Northamptonshire,Week 55,0.940507561,0.720440524
Nottingham and Nottinghamshire Health and Care,Week 45,1.20965842,0.808769848
Nottingham and Nottinghamshire Health and Care,Week 46,1.283496603,0.752269352
Nottingham and Nottinghamshire Health and Care,Week 47,1.364810849,0.741541653
Nottingham and Nottinghamshire Health and Care,Week 48,1.813621029,0.897393679
Nottingham and Nottinghamshire Health and Care,Week 49,2.741377324,1.197924838
Nottingham and Nottinghamshire Health and Care,Week 50,2.334212638,0.998087823
Nottingham and Nottinghamshire Health and Care,Week 51,1.830055845,0.822492281
Nottingham and Nottinghamshire Health and Care,Week 52,2.245159885,1.172918806
Nottingham and Nottinghamshire Health and Care,Week 53,1.208892426,0.79483533
Nottingham and Nottinghamshire Health and Care,Week 54,0.863537112,0.582746122
Nottingham and Nottinghamshire Health and Care,Week 55,1.028877532,0.597598061
Our Healthier South East London,Week 45,2.48973357,1.192018522
Our Healthier South East London,Week 46,1.324996243,0.656670615
